Kayamkulam	13	9.182	76.501
Dharmapuri	25	12.128	78.158
Bisalpur	36	28.293	79.805
Attili	02	16.700	81.600
Cumbum	25	9.736	77.285
Munnar	13	10.088	77.062
Panipat Taraf Makhdum Zadgan	10	29.416	76.988
Nabha	23	30.376	76.153
Bihat	34	25.425	86.021
Samastipur	34	25.862	85.780
Karanja	16	20.483	77.489
Sitamarhi	34	26.594	85.491
Rajsamand	24	25.071	73.880
Malkapur	16	20.886	76.199
Modasa	09	23.463	73.299
Jaisalmer	24	26.918	70.904
Buldana	16	20.529	76.185
Dhenkanal	21	20.657	85.597
Urun-Islampur	16	17.050	74.267
Gopalganj	34	26.467	84.440
Bongaigaon	03	26.477	90.558
Sangamner	16	19.568	74.212
Haveri	19	14.794	75.404
Mannargudi	25	10.666	79.451
Jhalawar	24	24.596	76.165
Tarn Taran	23	31.452	74.928
Siddipet	40	18.105	78.849
Bellampalli	40	19.056	79.493
Barbil	21	22.102	85.378
Koratla	40	18.822	78.712
Rishikesh	39	30.108	78.293
Goyerkata	28	26.700	89.026
Mandamarri	40	18.965	79.475
Puliyankudi	25	9.175	77.398
Palasa	02	18.773	84.410
Gohana	10	29.138	76.702
Pulivendla	02	14.421	78.225
Chengalpattu	25	12.692	79.977
Wadgaon Kolhati	16	19.843	75.236
Ladnun	24	27.653	74.400
Supaul	34	26.115	86.595
Gangarampur	28	25.401	88.530
Ramanathapuram	25	9.372	78.831
Jagraon	23	30.788	75.474
Sinnar	16	19.845	73.999
Kopargaon	16	19.882	74.476
Alipur Duar	28	26.483	89.523
Tandur	40	17.248	77.577
Khatauli	36	29.278	77.733
Viraraghavapuram	25	13.073	80.108
Siuri	28	23.908	87.528
Bina	35	24.172	78.188
Palitana	09	21.525	71.823
Chaumu	24	27.170	75.722
Halol	09	22.503	73.472
Kodar	40	16.998	79.966
Bangarda Chhota	35	22.744	75.814
Tadepalle	02	16.483	80.600
Tirupattur	25	12.492	78.568
Chinnachowk	02	14.475	78.835
Bishnupur	28	23.074	87.320
